decision_id,task_id,region_id,current_risk,predicted_risk,trend,task_score,rank_position,selected,policy,safety_result
demo_decision_001,task_001,A,25.44563955544662,33.77291488647461,RISING,0.32537848310348705,1,1,rule_fallback,MODEL_ERROR→RULE_FALLBACK
demo_decision_001,task_001,B,8.829917056486266,11.868383407592773,RISING,-0.013223473412853078,2,0,rule_fallback,MODEL_ERROR→RULE_FALLBACK
demo_decision_001,task_001,D,10.421928427165842,19.783557891845703,RISING,-0.054353894439906736,3,0,rule_fallback,MODEL_ERROR→RULE_FALLBACK
demo_decision_001,task_001,C,5.46005222980753,6.7088398933410645,STABLE,-0.14049663084898378,4,0,rule_fallback,MODEL_ERROR→RULE_FALLBACK
demo_decision_002,task_002,A,31.303408166102507,30.244813919067383,STABLE,3.608983278274536,1,1,ranker,constraints_passed
demo_decision_002,task_002,D,19.158159995410312,24.128429412841797,RISING,-0.10257492959499359,2,0,ranker,constraints_passed
demo_decision_002,task_002,B,12.957919094223685,13.469642639160156,STABLE,-1.7925268411636353,3,0,ranker,constraints_passed
demo_decision_002,task_002,C,6.128803174986943,7.072216033935547,STABLE,-2.406712770462036,4,0,ranker,constraints_passed
demo_decision_003,task_003,A,20.90852079287097,25.99026107788086,RISING,2.905404806137085,1,1,ranker,constraints_passed
demo_decision_003,task_003,D,23.806558166114073,24.44564437866211,STABLE,0.5040653347969055,2,0,ranker,constraints_passed
demo_decision_003,task_003,B,15.200143219032414,14.263792991638184,STABLE,-1.273606300354004,3,0,ranker,constraints_passed
demo_decision_003,task_003,C,6.837147337179328,7.809980869293213,STABLE,-2.34330415725708,4,0,ranker,constraints_passed
