id,timestamp,event_key,payload_json,decision_id,region_id,current_risk,predicted_risk,trend,pm25,voc,co2,temperature,humidity,abnormal_duration,waiting_time,data_age,distance,estimated_move_time,estimated_energy,switch_cost,valid_flag,quality_code
265,2026-08-01T09:17:00,A,"{""region_id"": ""A"", ""current_pm25"": 91.73364562505192, ""current_voc"": 105.97077988030831, ""current_co2"": 558.4524253100376, ""current_temperature"": 23.363346852951736, ""current_humidity"": 46.65764995491871, ""rolling_mean_pm25"": 68.46536284163577, ""rolling_mean_voc"": 108.17953015329083, ""rolling_mean_co2"": 570.1818221731395, ""rolling_max_pm25"": 91.73364562505192, ""rolling_max_voc"": 117.42196463824573, ""rolling_max_co2"": 604.7732758559036, ""rolling_std_pm25"": 15.33891660263865, ""rolling_std_voc"": 5.617516271833687, ""rolling_std_co2"": 17.9584166265692, ""slope_pm25"": 3.928128729157441, ""slope_voc"": -0.47118311768252585, ""slope_co2"": 2.357614975559934, ""abnormal_duration"": 150.0, ""neighbor_diff"": 78.04913194172894, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:00"", ""decision_id"": """"}",,A,,,,,,,,,150.0,,0.0,,,,,1,
266,2026-08-01T09:17:00,B,"{""region_id"": ""B"", ""current_pm25"": 12.491805729679271, ""current_voc"": 198.78283250743513, ""current_co2"": 661.712157597754, ""current_temperature"": 23.08092215944654, ""current_humidity"": 58.85112004379469, ""rolling_mean_pm25"": 12.258710549095724, ""rolling_mean_voc"": 174.290659343638, ""rolling_mean_co2"": 652.6238188785177, ""rolling_max_pm25"": 15.342045240164408, ""rolling_max_voc"": 213.4703727053024, ""rolling_max_co2"": 665.8998877011611, ""rolling_std_pm25"": 2.011295374403408, ""rolling_std_voc"": 22.066653098964167, ""rolling_std_co2"": 12.208459698816885, ""slope_pm25"": 0.05461728497381978, ""slope_voc"": 5.459031017588154, ""slope_co2"": -0.7356111273410568, ""abnormal_duration"": 0.0, ""neighbor_diff"": -27.02006949956708, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:00"", ""decision_id"": """"}",,B,,,,,,,,,0.0,,0.0,,,,,1,
267,2026-08-01T09:17:00,C,"{""region_id"": ""C"", ""current_pm25"": 15.346146333427349, ""current_voc"": 116.32167381563075, ""current_co2"": 553.9678905987635, ""current_temperature"": 23.947872563746362, ""current_humidity"": 48.83959841729743, ""rolling_mean_pm25"": 12.731691458838176, ""rolling_mean_voc"": 114.5964545620312, ""rolling_mean_co2"": 570.2976143026392, ""rolling_max_pm25"": 16.896648651373336, ""rolling_max_voc"": 122.37332324300812, ""rolling_max_co2"": 589.7079245150301, ""rolling_std_pm25"": 1.7858380907885005, ""rolling_std_voc"": 5.799637251978234, ""rolling_std_co2"": 12.052373744249033, ""slope_pm25"": 0.12968958957209964, ""slope_voc"": -0.8120809357309676, ""slope_co2"": 1.2423403536117663, ""abnormal_duration"": 0.0, ""neighbor_diff"": -24.222470845498123, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:00"", ""decision_id"": """"}",,C,,,,,,,,,0.0,,0.0,,,,,1,
268,2026-08-01T09:17:00,D,"{""region_id"": ""D"", ""current_pm25"": 11.929023121667868, ""current_voc"": 111.48343442915373, ""current_co2"": 1064.1721155703126, ""current_temperature"": 24.182622093955274, ""current_humidity"": 53.70675557620481, ""rolling_mean_pm25"": 12.678390302636528, ""rolling_mean_voc"": 114.14560277358315, ""rolling_mean_co2"": 929.9670373227814, ""rolling_max_pm25"": 16.225903297606717, ""rolling_max_voc"": 124.30552671779056, ""rolling_max_co2"": 1064.1721155703126, ""rolling_std_pm25"": 1.7327628791634315, ""rolling_std_voc"": 7.137009750459852, ""rolling_std_co2"": 71.25605592299584, ""slope_pm25"": -0.13640042937538077, ""slope_voc"": -0.8036763809935825, ""slope_co2"": 18.626820908131712, ""abnormal_duration"": 30.0, ""neighbor_diff"": -27.928176107718308, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:00"", ""decision_id"": """"}",,D,,,,,,,,,30.0,,0.0,,,,,1,
269,2026-08-01T09:17:30,A,"{""region_id"": ""A"", ""current_pm25"": 92.56352990921407, ""current_voc"": 103.62688713876295, ""current_co2"": 587.5968687829234, ""current_temperature"": 23.63683760224963, ""current_humidity"": 46.59005715078237, ""rolling_mean_pm25"": 72.58782530316957, ""rolling_mean_voc"": 107.08239584512658, ""rolling_mean_co2"": 575.0687822985826, ""rolling_max_pm25"": 92.56352990921407, ""rolling_max_voc"": 117.42196463824573, ""rolling_max_co2"": 604.7732758559036, ""rolling_std_pm25"": 14.595851571272155, ""rolling_std_voc"": 5.089013930073204, ""rolling_std_co2"": 13.4998916285726, ""slope_pm25"": 3.7464005049551337, ""slope_voc"": -0.28567445645208983, ""slope_co2"": 1.327074642928239, ""abnormal_duration"": 180.0, ""neighbor_diff"": 79.30787151428925, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:30"", ""decision_id"": ""demo_decision_001""}",demo_decision_001,A,,,,,,,,,180.0,,0.0,,,,,1,
270,2026-08-01T09:17:30,B,"{""region_id"": ""B"", ""current_pm25"": 15.053550337802964, ""current_voc"": 217.13932592043193, ""current_co2"": 623.6445321829096, ""current_temperature"": 23.05330086282414, ""current_humidity"": 59.0929018669212, ""rolling_mean_pm25"": 12.3301582755279, ""rolling_mean_voc"": 181.04663078150466, ""rolling_mean_co2"": 650.5574649862293, ""rolling_max_pm25"": 15.342045240164408, ""rolling_max_voc"": 217.13932592043193, ""rolling_max_co2"": 665.8998877011611, ""rolling_std_pm25"": 2.0924428000370603, ""rolling_std_voc"": 21.738099345998407, ""rolling_std_co2"": 14.604854420013123, ""slope_pm25"": 0.23117930924398622, ""slope_voc"": 5.452255410907127, ""slope_co2"": -1.9021858657266795, ""abnormal_duration"": 0.0, ""neighbor_diff"": -24.892682783633465, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:30"", ""decision_id"": ""demo_decision_001""}",demo_decision_001,B,,,,,,,,,0.0,,0.0,,,,,1,
271,2026-08-01T09:17:30,C,"{""region_id"": ""C"", ""current_pm25"": 13.866432480254982, ""current_voc"": 106.68872560880543, ""current_co2"": 591.1306089226732, ""current_temperature"": 24.28463827232715, ""current_humidity"": 48.83302838641128, ""rolling_mean_pm25"": 12.89168509102847, ""rolling_mean_voc"": 113.38994705170792, ""rolling_mean_co2"": 572.8586603827442, ""rolling_max_pm25"": 16.896648651373336, ""rolling_max_voc"": 121.7615487489535, ""rolling_max_co2"": 591.1306089226732, ""rolling_std_pm25"": 1.7871622447205262, ""rolling_std_voc"": 5.686652423292492, ""rolling_std_co2"": 12.654755349122292, ""slope_pm25"": 0.13074570357815207, ""slope_voc"": -0.7736649629425976, ""slope_co2"": 1.4498883578473771, ""abnormal_duration"": 0.0, ""neighbor_diff"": -25.982268642639983, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:30"", ""decision_id"": ""demo_decision_001""}",demo_decision_001,C,,,,,,,,,0.0,,0.0,,,,,1,
272,2026-08-01T09:17:30,D,"{""region_id"": ""D"", ""current_pm25"": 18.93424593635672, ""current_voc"": 127.84678363784433, ""current_co2"": 1078.7481124773926, ""current_temperature"": 24.27939239832041, ""current_humidity"": 53.656798036085554, ""rolling_mean_pm25"": 13.121133174021487, ""rolling_mean_voc"": 114.41800715204883, ""rolling_mean_co2"": 950.6625076797872, ""rolling_max_pm25"": 18.93424593635672, ""rolling_max_voc"": 127.84678363784433, ""rolling_max_co2"": 1078.7481124773926, ""rolling_std_pm25"": 2.4078290357959533, ""rolling_std_voc"": 7.5738083853241855, ""rolling_std_co2"": 72.38355656241748, ""slope_pm25"": 0.08907496591215416, ""slope_voc"": 0.038777205792236945, ""slope_co2"": 18.906305383529734, ""abnormal_duration"": 60.0, ""neighbor_diff"": -21.560258306067286, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:17:30"", ""decision_id"": ""demo_decision_001""}",demo_decision_001,D,,,,,,,,,60.0,,0.0,,,,,1,
273,2026-08-01T09:18:00,A,"{""region_id"": ""A"", ""current_pm25"": 96.070979581937, ""current_voc"": 99.87329111618344, ""current_co2"": 599.4633047661595, ""current_temperature"": 23.280892077091035, ""current_humidity"": 46.46325439591317, ""rolling_mean_pm25"": 76.62136068663823, ""rolling_mean_voc"": 106.74513758823913, ""rolling_mean_co2"": 578.6784973503638, ""rolling_max_pm25"": 96.070979581937, ""rolling_max_voc"": 117.42196463824573, ""rolling_max_co2"": 604.7732758559036, ""rolling_std_pm25"": 13.81943741699762, ""rolling_std_voc"": 5.411290257949589, ""rolling_std_co2"": 13.74667479908988, ""slope_pm25"": 3.580768784242801, ""slope_voc"": -0.6551449632104946, ""slope_co2"": 1.3890237435745187, ""abnormal_duration"": 210.0, ""neighbor_diff"": 80.1195699971321, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:18:00"", ""decision_id"": ""demo_decision_001""}",demo_decision_001,A,,,,,,,,,210.0,,0.0,,,,,1,
274,2026-08-01T09:18:00,B,"{""region_id"": ""B"", ""current_pm25"": 14.224031969045965, ""current_voc"": 242.06981107109218, ""current_co2"": 673.3033933484481, ""current_temperature"": 23.21679566413364, ""current_humidity"": 59.24452862061933, ""rolling_mean_pm25"": 12.801344371214952, ""rolling_mean_voc"": 188.9677122800774, ""rolling_mean_co2"": 651.5768342783849, ""rolling_max_pm25"": 15.342045240164408, ""rolling_max_voc"": 242.06981107109218, ""rolling_max_co2"": 673.3033933484481, ""rolling_std_pm25"": 1.8102039653527537, ""rolling_std_voc"": 24.97234899918172, ""rolling_std_co2"": 15.689687556434746, ""slope_pm25"": 0.13953411505597776, ""slope_voc"": 6.287837043030305, ""slope_co2"": -0.7388195002364625, ""abnormal_duration"": 0.0, ""neighbor_diff"": -28.7331873638036, ""data_age"": 0.0, ""sample_interval"": 30.0, ""valid_flag"": 1, ""hour"": 9, ""time_period"": 1, ""timestamp"": ""2026-08-01T09:18:00"", ""decision_id"": ""demo_decision_001""}",demo_decision_001,B,,,,,,,,,0.0,,0.0,,,,,1,
