id,timestamp,event_key,payload_json,decision_id,region_id,task_score,rank_position,selected,policy
25,2026-09-09T07:14:49.820116+00:00,demo_decision_001,"{""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""task_score"": 3.3121438026428223, ""rank_position"": 1, ""selected"": 1, ""policy"": ""ranker""}",demo_decision_001,A,3.3121438026428223,1,1,ranker
26,2026-09-09T07:14:49.820726+00:00,demo_decision_001,"{""decision_id"": ""demo_decision_001"", ""region_id"": ""D"", ""task_score"": 0.20486882328987122, ""rank_position"": 2, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_001,D,0.20486882328987122,2,0,ranker
27,2026-09-09T07:14:49.821012+00:00,demo_decision_001,"{""decision_id"": ""demo_decision_001"", ""region_id"": ""B"", ""task_score"": -1.723940134048462, ""rank_position"": 3, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_001,B,-1.723940134048462,3,0,ranker
28,2026-09-09T07:14:49.821358+00:00,demo_decision_001,"{""decision_id"": ""demo_decision_001"", ""region_id"": ""C"", ""task_score"": -2.344541311264038, ""rank_position"": 4, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_001,C,-2.344541311264038,4,0,ranker
29,2026-09-09T07:14:49.880235+00:00,demo_decision_002,"{""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""task_score"": 3.608983278274536, ""rank_position"": 1, ""selected"": 1, ""policy"": ""ranker""}",demo_decision_002,A,3.608983278274536,1,1,ranker
30,2026-09-09T07:14:49.880564+00:00,demo_decision_002,"{""decision_id"": ""demo_decision_002"", ""region_id"": ""D"", ""task_score"": -0.10257492959499359, ""rank_position"": 2, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_002,D,-0.10257492959499359,2,0,ranker
31,2026-09-09T07:14:49.880920+00:00,demo_decision_002,"{""decision_id"": ""demo_decision_002"", ""region_id"": ""B"", ""task_score"": -1.7925268411636353, ""rank_position"": 3, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_002,B,-1.7925268411636353,3,0,ranker
32,2026-09-09T07:14:49.881223+00:00,demo_decision_002,"{""decision_id"": ""demo_decision_002"", ""region_id"": ""C"", ""task_score"": -2.406712770462036, ""rank_position"": 4, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_002,C,-2.406712770462036,4,0,ranker
33,2026-09-09T07:14:49.936468+00:00,demo_decision_003,"{""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""task_score"": 2.905404806137085, ""rank_position"": 1, ""selected"": 1, ""policy"": ""ranker""}",demo_decision_003,A,2.905404806137085,1,1,ranker
34,2026-09-09T07:14:49.936843+00:00,demo_decision_003,"{""decision_id"": ""demo_decision_003"", ""region_id"": ""D"", ""task_score"": 0.5040653347969055, ""rank_position"": 2, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_003,D,0.5040653347969055,2,0,ranker
35,2026-09-09T07:14:49.937166+00:00,demo_decision_003,"{""decision_id"": ""demo_decision_003"", ""region_id"": ""B"", ""task_score"": -1.273606300354004, ""rank_position"": 3, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_003,B,-1.273606300354004,3,0,ranker
36,2026-09-09T07:14:49.937465+00:00,demo_decision_003,"{""decision_id"": ""demo_decision_003"", ""region_id"": ""C"", ""task_score"": -2.34330415725708, ""rank_position"": 4, ""selected"": 0, ""policy"": ""ranker""}",demo_decision_003,C,-2.34330415725708,4,0,ranker
