id,timestamp,event_key,payload_json,decision_id,task_id,region_id,region,old_state,new_state,state,event,reason,cycle
89,2026-09-09T07:14:49.806907+00:00,,"{""timestamp"": ""2026-09-09T07:14:49.806907+00:00"", ""task_id"": """", ""old_state"": ""IDLE"", ""new_state"": ""SENSING"", ""reason"": ""environment_sample_and_region_state_update"", ""decision_id"": """", ""region_id"": ""A"", ""cycle"": 1}",,,A,A,IDLE,SENSING,SENSING,environment_sample_and_region_state_update,environment_sample_and_region_state_update,1
90,2026-09-09T07:14:49.821645+00:00,task_001,"{""timestamp"": ""2026-09-09T07:14:49.821645+00:00"", ""task_id"": ""task_001"", ""old_state"": ""SENSING"", ""new_state"": ""DECIDING"", ""reason"": ""candidate_tasks_ranked_policy=ranker"", ""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""cycle"": 1}",demo_decision_001,task_001,A,A,SENSING,DECIDING,DECIDING,candidate_tasks_ranked_policy=ranker,candidate_tasks_ranked_policy=ranker,1
91,2026-09-09T07:14:49.821850+00:00,task_001,"{""timestamp"": ""2026-09-09T07:14:49.821850+00:00"", ""task_id"": ""task_001"", ""old_state"": ""DECIDING"", ""new_state"": ""NAVIGATING"", ""reason"": ""navigation_adapter_execute"", ""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""cycle"": 1}",demo_decision_001,task_001,A,A,DECIDING,NAVIGATING,NAVIGATING,navigation_adapter_execute,navigation_adapter_execute,1
92,2026-09-09T07:14:49.822140+00:00,task_001,"{""timestamp"": ""2026-09-09T07:14:49.822140+00:00"", ""task_id"": ""task_001"", ""old_state"": ""NAVIGATING"", ""new_state"": ""ARRIVED"", ""reason"": ""navigation_arrival_confirmation"", ""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""cycle"": 1}",demo_decision_001,task_001,A,A,NAVIGATING,ARRIVED,ARRIVED,navigation_arrival_confirmation,navigation_arrival_confirmation,1
93,2026-09-09T07:14:49.822490+00:00,task_001,"{""timestamp"": ""2026-09-09T07:14:49.822490+00:00"", ""task_id"": ""task_001"", ""old_state"": ""ARRIVED"", ""new_state"": ""PURIFYING"", ""reason"": ""purification_adapter_execute"", ""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""cycle"": 1}",demo_decision_001,task_001,A,A,ARRIVED,PURIFYING,PURIFYING,purification_adapter_execute,purification_adapter_execute,1
94,2026-09-09T07:14:49.855633+00:00,task_001,"{""timestamp"": ""2026-09-09T07:14:49.855633+00:00"", ""task_id"": ""task_001"", ""old_state"": ""PURIFYING"", ""new_state"": ""RECHECKING"", ""reason"": ""post_treatment_recheck"", ""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""cycle"": 1}",demo_decision_001,task_001,A,A,PURIFYING,RECHECKING,RECHECKING,post_treatment_recheck,post_treatment_recheck,1
95,2026-09-09T07:14:49.866259+00:00,task_001,"{""timestamp"": ""2026-09-09T07:14:49.866259+00:00"", ""task_id"": ""task_001"", ""old_state"": ""RECHECKING"", ""new_state"": ""REDECIDING"", ""reason"": ""state_updated_after_recheck"", ""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""cycle"": 1}",demo_decision_001,task_001,A,A,RECHECKING,REDECIDING,REDECIDING,state_updated_after_recheck,state_updated_after_recheck,1
96,2026-09-09T07:14:49.866483+00:00,task_001,"{""timestamp"": ""2026-09-09T07:14:49.866483+00:00"", ""task_id"": ""task_001"", ""old_state"": ""REDECIDING"", ""new_state"": ""SENSING"", ""reason"": ""environment_sample_and_region_state_update"", ""decision_id"": ""demo_decision_001"", ""region_id"": ""A"", ""cycle"": 2}",demo_decision_001,task_001,A,A,REDECIDING,SENSING,SENSING,environment_sample_and_region_state_update,environment_sample_and_region_state_update,2
97,2026-09-09T07:14:49.881478+00:00,task_002,"{""timestamp"": ""2026-09-09T07:14:49.881478+00:00"", ""task_id"": ""task_002"", ""old_state"": ""SENSING"", ""new_state"": ""DECIDING"", ""reason"": ""candidate_tasks_ranked_policy=ranker"", ""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""cycle"": 2}",demo_decision_002,task_002,A,A,SENSING,DECIDING,DECIDING,candidate_tasks_ranked_policy=ranker,candidate_tasks_ranked_policy=ranker,2
98,2026-09-09T07:14:49.881644+00:00,task_002,"{""timestamp"": ""2026-09-09T07:14:49.881644+00:00"", ""task_id"": ""task_002"", ""old_state"": ""DECIDING"", ""new_state"": ""NAVIGATING"", ""reason"": ""navigation_adapter_execute"", ""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""cycle"": 2}",demo_decision_002,task_002,A,A,DECIDING,NAVIGATING,NAVIGATING,navigation_adapter_execute,navigation_adapter_execute,2
99,2026-09-09T07:14:49.882002+00:00,task_002,"{""timestamp"": ""2026-09-09T07:14:49.882002+00:00"", ""task_id"": ""task_002"", ""old_state"": ""NAVIGATING"", ""new_state"": ""ARRIVED"", ""reason"": ""navigation_arrival_confirmation"", ""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""cycle"": 2}",demo_decision_002,task_002,A,A,NAVIGATING,ARRIVED,ARRIVED,navigation_arrival_confirmation,navigation_arrival_confirmation,2
100,2026-09-09T07:14:49.882305+00:00,task_002,"{""timestamp"": ""2026-09-09T07:14:49.882305+00:00"", ""task_id"": ""task_002"", ""old_state"": ""ARRIVED"", ""new_state"": ""PURIFYING"", ""reason"": ""purification_adapter_execute"", ""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""cycle"": 2}",demo_decision_002,task_002,A,A,ARRIVED,PURIFYING,PURIFYING,purification_adapter_execute,purification_adapter_execute,2
101,2026-09-09T07:14:49.909676+00:00,task_002,"{""timestamp"": ""2026-09-09T07:14:49.909676+00:00"", ""task_id"": ""task_002"", ""old_state"": ""PURIFYING"", ""new_state"": ""RECHECKING"", ""reason"": ""post_treatment_recheck"", ""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""cycle"": 2}",demo_decision_002,task_002,A,A,PURIFYING,RECHECKING,RECHECKING,post_treatment_recheck,post_treatment_recheck,2
102,2026-09-09T07:14:49.921873+00:00,task_002,"{""timestamp"": ""2026-09-09T07:14:49.921873+00:00"", ""task_id"": ""task_002"", ""old_state"": ""RECHECKING"", ""new_state"": ""REDECIDING"", ""reason"": ""state_updated_after_recheck"", ""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""cycle"": 2}",demo_decision_002,task_002,A,A,RECHECKING,REDECIDING,REDECIDING,state_updated_after_recheck,state_updated_after_recheck,2
103,2026-09-09T07:14:49.922121+00:00,task_002,"{""timestamp"": ""2026-09-09T07:14:49.922121+00:00"", ""task_id"": ""task_002"", ""old_state"": ""REDECIDING"", ""new_state"": ""SENSING"", ""reason"": ""environment_sample_and_region_state_update"", ""decision_id"": ""demo_decision_002"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_002,task_002,A,A,REDECIDING,SENSING,SENSING,environment_sample_and_region_state_update,environment_sample_and_region_state_update,3
104,2026-09-09T07:14:49.937760+00:00,task_003,"{""timestamp"": ""2026-09-09T07:14:49.937760+00:00"", ""task_id"": ""task_003"", ""old_state"": ""SENSING"", ""new_state"": ""DECIDING"", ""reason"": ""candidate_tasks_ranked_policy=ranker"", ""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_003,task_003,A,A,SENSING,DECIDING,DECIDING,candidate_tasks_ranked_policy=ranker,candidate_tasks_ranked_policy=ranker,3
105,2026-09-09T07:14:49.937956+00:00,task_003,"{""timestamp"": ""2026-09-09T07:14:49.937956+00:00"", ""task_id"": ""task_003"", ""old_state"": ""DECIDING"", ""new_state"": ""NAVIGATING"", ""reason"": ""navigation_adapter_execute"", ""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_003,task_003,A,A,DECIDING,NAVIGATING,NAVIGATING,navigation_adapter_execute,navigation_adapter_execute,3
106,2026-09-09T07:14:49.938261+00:00,task_003,"{""timestamp"": ""2026-09-09T07:14:49.938261+00:00"", ""task_id"": ""task_003"", ""old_state"": ""NAVIGATING"", ""new_state"": ""ARRIVED"", ""reason"": ""navigation_arrival_confirmation"", ""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_003,task_003,A,A,NAVIGATING,ARRIVED,ARRIVED,navigation_arrival_confirmation,navigation_arrival_confirmation,3
107,2026-09-09T07:14:49.938550+00:00,task_003,"{""timestamp"": ""2026-09-09T07:14:49.938550+00:00"", ""task_id"": ""task_003"", ""old_state"": ""ARRIVED"", ""new_state"": ""PURIFYING"", ""reason"": ""purification_adapter_execute"", ""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_003,task_003,A,A,ARRIVED,PURIFYING,PURIFYING,purification_adapter_execute,purification_adapter_execute,3
108,2026-09-09T07:14:49.966100+00:00,task_003,"{""timestamp"": ""2026-09-09T07:14:49.966100+00:00"", ""task_id"": ""task_003"", ""old_state"": ""PURIFYING"", ""new_state"": ""RECHECKING"", ""reason"": ""post_treatment_recheck"", ""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_003,task_003,A,A,PURIFYING,RECHECKING,RECHECKING,post_treatment_recheck,post_treatment_recheck,3
109,2026-09-09T07:14:49.976342+00:00,task_003,"{""timestamp"": ""2026-09-09T07:14:49.976342+00:00"", ""task_id"": ""task_003"", ""old_state"": ""RECHECKING"", ""new_state"": ""REDECIDING"", ""reason"": ""state_updated_after_recheck"", ""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_003,task_003,A,A,RECHECKING,REDECIDING,REDECIDING,state_updated_after_recheck,state_updated_after_recheck,3
110,2026-09-09T07:14:49.976551+00:00,task_003,"{""timestamp"": ""2026-09-09T07:14:49.976551+00:00"", ""task_id"": ""task_003"", ""old_state"": ""REDECIDING"", ""new_state"": ""COMPLETED"", ""reason"": ""three_software_in_the_loop_cycles_completed"", ""decision_id"": ""demo_decision_003"", ""region_id"": ""A"", ""cycle"": 3}",demo_decision_003,task_003,A,A,REDECIDING,COMPLETED,COMPLETED,three_software_in_the_loop_cycles_completed,three_software_in_the_loop_cycles_completed,3
