decision_id,episode_id,scenario_id,step_index,region_id,split,current_risk,predicted_risk,trend_code,abnormal_duration,waiting_time,data_age,distance,estimated_move_time,estimated_energy,battery_soc,switch_cost,scene_weight,reachable,counterfactual_risk_gain,ground_truth_utility,relevance_grade
scenario_1_kitchen_pm_spike_ep00_d012,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,12,A,val,3.469480049073497,5.654639,0,0.0,0.0,0.0,0.0,0.0,0.0,93.04000000000002,0.0,1.0,1,47.64942394567811,0.16117043444261483,3
scenario_1_kitchen_pm_spike_ep00_d012,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,12,B,val,1.4930489587211413,3.2564044,0,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,93.04000000000002,1.0,1.0,1,17.41889540464763,-0.312132034254623,0
scenario_1_kitchen_pm_spike_ep00_d012,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,12,C,val,3.906934889366409,7.478589,1,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,93.04000000000002,1.0,1.0,1,204.9875933821478,0.6878679657400457,4
scenario_1_kitchen_pm_spike_ep00_d012,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,12,D,val,3.874148111031549,5.0214915,0,0.0,0.0,0.0,5.656854249492381,12.57078722109418,0.9302382543609692,93.04000000000002,1.0,1.0,1,27.826228406326777,-0.3445145531172047,0
scenario_1_kitchen_pm_spike_ep00_d015,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,15,A,val,3.428630883895569,5.883579,0,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,92.80000000000004,1.0,1.0,1,47.964804432941264,-0.21602480237053867,0
scenario_1_kitchen_pm_spike_ep00_d015,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,15,B,val,3.094136471390136,3.3012042,0,0.0,0.0,0.0,0.0,0.0,0.0,92.80000000000004,0.0,1.0,1,19.653959604261672,0.0,0
scenario_1_kitchen_pm_spike_ep00_d015,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,15,C,val,4.235004295004044,7.353664,1,0.0,0.0,0.0,5.656854249492381,12.57078722109418,0.9302382543609692,92.80000000000004,1.0,1.0,1,314.2295526535902,0.6000000001399235,4
scenario_1_kitchen_pm_spike_ep00_d015,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,15,D,val,4.108857357989501,4.936927,0,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,92.80000000000004,1.0,1.0,1,29.41107749088405,-0.2790094059146866,0
scenario_1_kitchen_pm_spike_ep00_d018,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,18,A,val,4.216428609306695,5.9818645,0,0.0,0.0,0.0,5.656854249492381,12.57078722109418,0.9302382543609692,92.56000000000004,1.0,1.0,1,49.54332221544337,-0.3378465985782133,0
scenario_1_kitchen_pm_spike_ep00_d018,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,18,B,val,2.9431907316897403,3.7324367,0,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,92.56000000000004,1.0,1.0,1,23.03008980995469,-0.312132034254623,0
scenario_1_kitchen_pm_spike_ep00_d018,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,18,C,val,4.750673414718427,7.808015,1,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,92.56000000000004,1.0,1.0,1,449.6074268512237,0.6878679657430328,4
scenario_1_kitchen_pm_spike_ep00_d018,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,18,D,val,3.7741660436314985,4.949353,0,0.0,0.0,0.0,0.0,0.0,0.0,92.56000000000004,0.0,1.0,1,32.1777387197169,0.021444291844448786,3
scenario_1_kitchen_pm_spike_ep00_d021,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,21,A,val,3.3727838387684,6.5050416,1,0.0,0.0,0.0,0.0,0.0,0.0,92.32000000000004,0.0,1.0,1,51.85564036025812,0.04674368117118047,3
scenario_1_kitchen_pm_spike_ep00_d021,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,21,B,val,2.728636768444861,4.8862157,0,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,92.32000000000004,1.0,1.0,1,27.025721001146167,-0.312132034254623,0
scenario_1_kitchen_pm_spike_ep00_d021,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,21,C,val,10.61055716645916,35.86321,1,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,92.32000000000004,1.0,1.0,1,558.2187878915208,0.6878679657434945,4
scenario_1_kitchen_pm_spike_ep00_d021,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,21,D,val,3.380393017395652,5.098169,0,0.0,0.0,0.0,5.656854249492381,12.57078722109418,0.9302382543609692,92.32000000000004,1.0,1.0,1,35.60208665707046,-0.3838545224578247,0
scenario_1_kitchen_pm_spike_ep00_d024,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,24,A,val,4.4521460586623895,4.6849957,0,0.0,0.0,0.0,4.0,8.88888888888889,0.6577777777777778,92.08000000000004,1.0,1.0,1,55.48232010810352,-0.2748861938298297,0
scenario_1_kitchen_pm_spike_ep00_d024,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,24,B,val,4.496236802637165,6.3115335,0,0.0,0.0,0.0,5.656854249492381,12.57078722109418,0.9302382543609692,92.08000000000004,1.0,1.0,1,32.22869098308911,-0.3999999998566819,0
